date,produit_id,quantite_vendue,prix_unitaire,montant_total
2023-07-01,96,1,669.79,669.79
2023-07-01,13,2,884.87,1769.74
2023-07-01,88,2,824.19,1648.38
2023-07-01,14,9,401.77,3615.93
2023-07-01,46,2,566.65,1133.3
2023-07-01,7,3,951.34,2854.02
2023-07-01,11,7,480.35,3362.4500000000003
2023-07-01,62,4,978.15,3912.6
2023-07-01,28,7,416.0,2912.0
2023-07-01,65,2,239.82,479.64
2023-07-01,77,6,500.37,3002.2200000000003
2023-07-01,19,1,622.88,622.88
2023-07-01,50,10,891.34,8913.4
2023-07-01,37,5,56.42,282.1
2023-07-01,34,5,96.63,483.15
2023-07-01,47,8,353.48,2827.84
2023-07-01,57,2,559.52,1119.04
2023-07-01,84,6,446.93,2681.58
2023-07-01,39,2,694.49,1388.98
2023-07-01,76,5,890.23,4451.15
2023-07-01,100,1,174.71,174.71
2023-07-01,48,8,576.19,4609.52
2023-07-01,9,10,325.17,3251.7000000000003
2023-07-01,8,10,694.39,6943.9
2023-07-01,85,7,249.75,1748.25
2023-07-01,49,8,128.86,1030.88
2023-07-01,69,6,616.83,3700.9800000000005
2023-07-01,21,8,524.23,4193.84
2023-07-01,9,3,325.17,975.51
2023-07-01,77,1,500.37,500.37
2023-07-01,80,8,952.98,7623.84
2023-07-01,90,6,129.01,774.06
2023-07-01,41,5,195.34,976.7
2023-07-01,34,6,96.63,579.78
2023-07-01,32,7,729.52,5106.639999999999
2023-07-01,64,7,719.57,5036.990000000001
2023-07-01,39,4,694.49,2777.96
2023-07-01,61,3,813.34,2440.02
2023-07-01,40,8,679.48,5435.84
2023-07-01,4,6,469.94,2819.64
2023-07-01,86,1,560.99,560.99
2023-07-01,96,5,669.79,3348.95
2023-07-01,91,10,223.18,2231.8
2023-07-01,93,2,641.75,1283.5
2023-07-01,7,2,951.34,1902.68
2023-07-01,50,7,891.34,6239.38
2023-07-01,97,9,741.22,6670.9800000000005
2023-07-01,44,3,236.52,709.5600000000001
2023-07-01,3,4,201.96,807.84
2023-07-01,23,2,555.48,1110.96
2023-07-01,66,5,421.3,2106.5
2023-07-01,53,2,97.21,194.42
2023-07-01,57,1,559.52,559.52
2023-07-01,79,9,842.18,7579.62
2023-07-01,94,4,434.39,1737.56
2023-07-01,11,10,480.35,4803.5
2023-07-01,37,10,56.42,564.2
2023-07-01,21,6,524.23,3145.38
2023-07-01,67,2,46.54,93.08
2023-07-01,52,4,273.99,1095.96
2023-07-01,38,2,274.3,548.6
2023-07-01,54,8,13.01,104.08
2023-07-01,65,9,239.82,2158.38
2023-07-01,83,2,748.88,1497.76
2023-07-01,28,3,416.0,1248.0
2023-07-01,25,4,751.81,3007.24
2023-07-01,9,7,325.17,2276.19
2023-07-01,41,8,195.34,1562.72
2023-07-01,35,5,166.24,831.2
2023-07-01,13,9,884.87,7963.83
2023-07-01,72,2,547.54,1095.08
2023-07-01,19,6,622.88,3737.2799999999997
2023-07-01,32,8,729.52,5836.16
2023-07-01,7,8,951.34,7610.72
2023-07-01,15,8,898.16,7185.28
2023-07-01,57,6,559.52,3357.12
2023-07-01,79,1,842.18,842.18
2023-07-01,61,2,813.34,1626.68
2023-07-01,4,7,469.94,3289.58
2023-07-01,22,10,168.85,1688.5
2023-07-01,91,10,223.18,2231.8
2023-07-01,2,4,318.39,1273.56
2023-07-01,5,7,226.95,1588.6499999999999
2023-07-01,36,10,683.51,6835.1
2023-07-01,58,1,438.19,438.19
2023-07-01,18,10,604.72,6047.200000000001
2023-07-01,10,6,690.97,4145.82
2023-07-01,42,9,514.3,4628.7
2023-07-01,12,9,313.23,2819.07
2023-07-01,54,10,13.01,130.1
2023-07-01,8,1,694.39,694.39
2023-07-01,91,2,223.18,446.36
2023-07-01,1,9,620.21,5581.89
2023-07-01,69,5,616.83,3084.15
2023-07-01,14,6,401.77,2410.62
2023-07-01,86,6,560.99,3365.94
2023-07-01,79,3,842.18,2526.54
2023-07-01,17,7,290.58,2034.06
2023-07-01,26,4,676.77,2707.08
2023-07-01,57,4,559.52,2238.08
2023-07-01,38,3,274.3,822.9000000000001
2023-07-01,80,5,952.98,4764.9
2023-07-01,67,4,46.54,186.16
2023-07-01,93,5,641.75,3208.75
2023-07-01,2,4,318.39,1273.56
2023-07-01,105,9,982.1,8838.9
2023-07-01,44,6,236.52,1419.1200000000001
2023-07-01,45,8,870.52,6964.16
2023-07-01,78,2,793.14,1586.28
2023-07-01,84,4,446.93,1787.72
2023-07-01,60,7,491.01,3437.0699999999997
2023-07-01,61,5,813.34,4066.7000000000003
2023-07-01,46,4,566.65,2266.6
2023-07-01,36,3,683.51,2050.5299999999997
2023-07-01,51,1,750.63,750.63
2023-07-01,72,5,547.54,2737.7
2023-07-01,47,8,353.48,2827.84
2023-07-01,83,5,748.88,3744.4
2023-07-01,42,10,514.3,5143.0
2023-07-01,49,4,128.86,515.44
2023-07-01,7,6,951.34,5708.04
2023-07-01,87,9,128.29,1154.61
2023-07-01,26,6,676.77,4060.62
2023-07-01,30,9,989.05,8901.449999999999
2023-07-01,105,8,982.1,7856.8
2023-07-01,71,4,370.69,1482.76
2023-07-01,61,3,813.34,2440.02
2023-07-01,25,9,751.81,6766.289999999999
2023-07-01,15,8,898.16,7185.28
2023-07-01,8,5,694.39,3471.95
2023-07-01,94,8,434.39,3475.12
2023-07-01,58,4,438.19,1752.76
2023-07-01,82,7,384.86,2694.02
2023-07-01,57,3,559.52,1678.56
2023-07-01,33,6,264.73,1588.38
2023-07-01,32,3,729.52,2188.56
2023-07-01,19,6,622.88,3737.2799999999997
2023-07-01,16,5,399.38,1996.9
2023-07-01,52,4,273.99,1095.96
2023-07-01,17,10,290.58,2905.7999999999997
2023-07-01,76,2,890.23,1780.46
2023-07-01,95,9,368.97,3320.7300000000005
2023-07-01,98,4,149.07,596.28
2023-07-01,2,9,318.39,2865.5099999999998
2023-07-01,65,9,239.82,2158.38
2023-07-01,76,9,890.23,8012.07
2023-07-01,44,6,236.52,1419.1200000000001
2023-07-01,84,10,446.93,4469.3
2023-07-01,29,3,356.09,1068.27
2023-07-01,103,7,276.11,1932.77
2023-07-01,46,10,566.65,5666.5
2023-07-01,94,8,434.39,3475.12
2023-07-01,90,3,129.01,387.03
2023-07-01,89,10,789.29,7892.9
2023-07-01,81,9,860.02,7740.18
2023-07-01,50,3,891.34,2674.02
2023-07-01,47,1,353.48,353.48
2023-07-01,91,4,223.18,892.72
2023-07-01,60,5,491.01,2455.05
2023-07-01,33,6,264.73,1588.38
2023-07-01,92,7,969.22,6784.54
2023-07-01,25,1,751.81,751.81
2023-07-01,41,9,195.34,1758.06
2023-07-01,29,9,356.09,3204.81
2023-07-01,73,8,66.64,533.12
2023-07-01,7,10,951.34,9513.4
2023-07-01,105,6,982.1,5892.6
2023-07-01,32,2,729.52,1459.04
2023-07-01,11,9,480.35,4323.150000000001
2023-07-01,25,3,751.81,2255.43
2023-07-01,28,7,416.0,2912.0
2023-07-01,56,8,283.81,2270.48
2023-07-01,57,8,559.52,4476.16
2023-07-01,52,3,273.99,821.97
2023-07-01,46,1,566.65,566.65
2023-07-01,8,2,694.39,1388.78
2023-07-01,48,4,576.19,2304.76
2023-07-01,60,10,491.01,4910.1
2023-07-01,17,6,290.58,1743.48
2023-07-01,12,3,313.23,939.69
2023-07-01,66,6,421.3,2527.8
2023-07-01,53,1,97.21,97.21
2023-07-01,71,5,370.69,1853.45
2023-07-01,104,3,748.03,2244.09
2023-07-01,67,8,46.54,372.32
2023-07-01,77,3,500.37,1501.1100000000001
2023-07-01,14,6,401.77,2410.62
2023-07-01,98,2,149.07,298.14
2023-07-01,96,9,669.79,6028.11
2023-07-01,72,6,547.54,3285.24
2023-07-01,13,10,884.87,8848.7
2023-07-01,100,4,174.71,698.84
2023-07-01,38,4,274.3,1097.2
2023-07-01,22,8,168.85,1350.8
2023-07-01,43,8,201.16,1609.28
2023-07-01,20,8,293.45,2347.6
2023-07-01,25,6,751.81,4510.86
2023-07-01,73,6,66.64,399.84000000000003
2023-07-01,16,8,399.38,3195.04
2023-07-01,88,9,824.19,7417.710000000001
2023-07-01,9,9,325.17,2926.53
2023-07-01,77,6,500.37,3002.2200000000003
2023-07-01,17,3,290.58,871.74
2023-07-01,37,10,56.42,564.2
2023-07-01,21,10,524.23,5242.3
2023-07-01,88,5,824.19,4120.950000000001
2023-07-01,38,8,274.3,2194.4
2023-07-01,48,5,576.19,2880.9500000000003
2023-07-01,16,3,399.38,1198.1399999999999
2023-07-01,44,1,236.52,236.52
2023-07-01,60,2,491.01,982.02
2023-07-01,61,2,813.34,1626.68
2023-07-01,23,4,555.48,2221.92
2023-07-01,72,7,547.54,3832.7799999999997
2023-07-01,73,10,66.64,666.4
2023-07-01,3,4,201.96,807.84
2023-07-01,11,10,480.35,4803.5
2023-07-01,2,1,318.39,318.39
2023-07-01,56,7,283.81,1986.67
2023-07-01,16,4,399.38,1597.52
2023-07-01,95,3,368.97,1106.91
2023-07-01,37,7,56.42,394.94
2023-07-01,1,2,620.21,1240.42
2023-07-01,17,6,290.58,1743.48
2023-07-01,85,5,249.75,1248.75
2023-07-01,42,3,514.3,1542.8999999999999
2023-07-01,41,1,195.34,195.34
2023-07-01,54,10,13.01,130.1
2023-07-01,78,1,793.14,793.14
2023-07-01,30,6,989.05,5934.299999999999
2023-07-01,66,3,421.3,1263.9
2023-07-01,9,6,325.17,1951.02
2023-07-01,20,8,293.45,2347.6
2023-07-01,68,7,733.32,5133.240000000001
2023-07-01,25,4,751.81,3007.24
2023-07-01,79,9,842.18,7579.62
2023-07-01,2,7,318.39,2228.73
2023-07-01,11,10,480.35,4803.5
2023-07-01,81,8,860.02,6880.16
2023-07-01,15,9,898.16,8083.44
2023-07-01,18,9,604.72,5442.4800000000005
2023-07-01,88,2,824.19,1648.38
2023-07-01,89,6,789.29,4735.74
2023-07-01,96,5,669.79,3348.95
2023-07-01,13,3,884.87,2654.61
2023-07-01,48,9,576.19,5185.710000000001
2023-07-01,49,10,128.86,1288.6000000000001
2023-07-01,28,5,416.0,2080.0
2023-07-01,60,1,491.01,491.01
2023-07-01,21,8,524.23,4193.84
2023-07-01,31,10,893.41,8934.1
2023-07-01,54,4,13.01,52.04
2023-07-01,11,5,480.35,2401.75
2023-07-01,99,2,934.2,1868.4
2023-07-01,95,9,368.97,3320.7300000000005
2023-07-01,50,1,891.34,891.34
2023-07-01,11,5,480.35,2401.75
2023-07-01,73,3,66.64,199.92000000000002
2023-07-01,20,1,293.45,293.45
2023-07-01,48,10,576.19,5761.900000000001
2023-07-01,87,10,128.29,1282.8999999999999
2023-07-01,30,5,989.05,4945.25
2023-07-01,92,6,969.22,5815.32
2023-07-01,71,1,370.69,370.69
2023-07-01,25,7,751.81,5262.67
2023-07-01,6,9,832.16,7489.44
2023-07-01,55,5,520.75,2603.75
2023-07-01,80,3,952.98,2858.94
2023-07-01,50,5,891.34,4456.7
2023-07-01,19,7,622.88,4360.16
2023-07-01,2,9,318.39,2865.5099999999998
2023-07-01,102,4,436.37,1745.48
2023-07-01,15,4,898.16,3592.64
2023-07-01,69,8,616.83,4934.64
2023-07-01,12,8,313.23,2505.84
2023-07-01,13,7,884.87,6194.09
2023-07-01,27,10,306.44,3064.4
2023-07-01,31,9,893.41,8040.69
2023-07-01,59,9,152.23,1370.07
2023-07-01,63,3,169.79,509.37
2023-07-01,56,6,283.81,1702.8600000000001
2023-07-01,57,4,559.52,2238.08
2023-07-01,50,9,891.34,8022.06
2023-07-01,19,2,622.88,1245.76
2023-07-01,38,5,274.3,1371.5
2023-07-01,28,4,416.0,1664.0
2023-07-01,51,1,750.63,750.63
2023-07-01,80,4,952.98,3811.92
2023-07-01,49,4,128.86,515.44
2023-07-01,56,10,283.81,2838.1
2023-07-01,94,9,434.39,3909.5099999999998
2023-07-01,102,5,436.37,2181.85
2023-07-01,64,3,719.57,2158.71
2023-07-01,10,8,690.97,5527.76
2023-07-01,11,3,480.35,1441.0500000000002
2023-07-01,97,4,741.22,2964.88
2023-07-01,21,8,524.23,4193.84
2023-07-01,53,9,97.21,874.89
2023-07-01,26,7,676.77,4737.389999999999
2023-07-01,93,9,641.75,5775.75
2023-07-01,95,1,368.97,368.97
2023-07-01,7,9,951.34,8562.06
2023-07-01,11,3,480.35,1441.0500000000002
2023-07-01,64,2,719.57,1439.14
2023-07-01,86,10,560.99,5609.9
2023-07-01,94,8,434.39,3475.12
2023-07-01,38,1,274.3,274.3
2023-07-01,68,5,733.32,3666.6000000000004
2023-07-01,19,9,622.88,5605.92
2023-07-01,85,1,249.75,249.75
2023-07-01,51,5,750.63,3753.15
2023-07-01,46,4,566.65,2266.6
2023-07-01,15,3,898.16,2694.48
2023-07-01,102,4,436.37,1745.48
2023-07-01,28,4,416.0,1664.0
2023-07-01,32,1,729.52,729.52
2023-07-01,36,1,683.51,683.51
2023-07-01,48,1,576.19,576.19
2023-07-01,54,4,13.01,52.04
2023-07-01,10,8,690.97,5527.76
2023-07-01,83,8,748.88,5991.04
2023-07-01,49,10,128.86,1288.6000000000001
2023-07-01,54,7,13.01,91.07
2023-07-01,27,8,306.44,2451.52
2023-07-01,20,9,293.45,2641.0499999999997
2023-07-01,24,3,847.41,2542.23
2023-07-01,102,5,436.37,2181.85
2023-07-01,18,9,604.72,5442.4800000000005
2023-07-01,77,8,500.37,4002.96
2023-07-01,23,7,555.48,3888.36
2023-07-01,84,8,446.93,3575.44
2023-07-01,105,4,982.1,3928.4
2023-07-01,25,5,751.81,3759.0499999999997
2023-07-01,26,5,676.77,3383.85
2023-07-01,42,7,514.3,3600.0999999999995
2023-07-01,13,1,884.87,884.87
2023-07-01,19,9,622.88,5605.92
2023-07-01,9,9,325.17,2926.53
2023-07-01,35,9,166.24,1496.16
2023-07-01,46,9,566.65,5099.849999999999
2023-07-01,21,10,524.23,5242.3
2023-07-01,73,5,66.64,333.2
2023-07-01,17,6,290.58,1743.48
2023-07-01,26,2,676.77,1353.54
2023-07-01,81,3,860.02,2580.06
2023-07-01,105,8,982.1,7856.8
2023-07-01,77,3,500.37,1501.1100000000001
2023-07-01,56,6,283.81,1702.8600000000001
2023-07-01,12,2,313.23,626.46
2023-07-01,84,3,446.93,1340.79
2023-07-01,67,2,46.54,93.08
2023-07-01,34,10,96.63,966.3
2023-07-01,89,6,789.29,4735.74
2023-07-01,20,7,293.45,2054.15
2023-07-01,65,1,239.82,239.82
2023-07-01,45,4,870.52,3482.08
2023-07-01,65,3,239.82,719.46
2023-07-01,63,7,169.79,1188.53
2023-07-01,103,5,276.11,1380.5500000000002
2023-07-01,5,8,226.95,1815.6
2023-07-01,46,8,566.65,4533.2
2023-07-01,95,4,368.97,1475.88
2023-07-01,20,7,293.45,2054.15
2023-07-01,57,7,559.52,3916.64
2023-07-01,28,1,416.0,416.0
2023-07-01,31,2,893.41,1786.82
2023-07-01,9,4,325.17,1300.68
2023-07-01,62,10,978.15,9781.5
2023-07-01,102,1,436.37,436.37
2023-07-01,47,2,353.48,706.96
2023-07-01,2,1,318.39,318.39
2023-07-01,50,4,891.34,3565.36
2023-07-01,59,4,152.23,608.92
2023-07-01,86,4,560.99,2243.96
2023-07-01,27,6,306.44,1838.6399999999999
2023-07-01,21,2,524.23,1048.46
2023-07-01,41,5,195.34,976.7
2023-07-01,76,9,890.23,8012.07
2023-07-01,71,8,370.69,2965.52
2023-07-01,1,5,620.21,3101.05
2023-07-01,89,10,789.29,7892.9
2023-07-01,88,4,824.19,3296.76
2023-07-01,33,7,264.73,1853.1100000000001
2023-07-01,52,6,273.99,1643.94
2023-07-01,91,1,223.18,223.18
2023-07-01,55,6,520.75,3124.5
2023-07-01,85,6,249.75,1498.5
2023-07-01,99,4,934.2,3736.8
2023-07-01,33,2,264.73,529.46
2023-07-01,29,5,356.09,1780.4499999999998
2023-07-01,75,3,832.48,2497.44
2023-07-01,36,10,683.51,6835.1
2023-07-01,12,10,313.23,3132.3
2023-07-01,97,7,741.22,5188.54
2023-07-01,100,9,174.71,1572.39
2023-07-01,59,3,152.23,456.68999999999994
2023-07-01,13,2,884.87,1769.74
2023-07-01,77,2,500.37,1000.74
2023-07-01,38,8,274.3,2194.4
2023-07-01,71,3,370.69,1112.07
2023-07-01,45,8,870.52,6964.16
2023-07-01,39,3,694.49,2083.4700000000003
2023-07-01,5,3,226.95,680.8499999999999
2023-07-01,28,7,416.0,2912.0
2023-07-01,7,4,951.34,3805.36
2023-07-01,80,3,952.98,2858.94
2023-07-01,89,2,789.29,1578.58
2023-07-01,31,4,893.41,3573.64
2023-07-01,49,6,128.86,773.1600000000001
2023-07-01,65,3,239.82,719.46
2023-07-01,18,4,604.72,2418.88
2023-07-01,87,5,128.29,641.4499999999999
2023-07-01,67,3,46.54,139.62
2023-07-01,90,8,129.01,1032.08
2023-07-01,36,2,683.51,1367.02
2023-07-01,34,5,96.63,483.15
2023-07-01,6,3,832.16,2496.48
2023-07-01,11,4,480.35,1921.4
2023-07-01,13,3,884.87,2654.61
2023-07-01,71,6,370.69,2224.14
2023-07-01,74,10,565.28,5652.799999999999
2023-07-01,69,8,616.83,4934.64
2023-07-01,92,2,969.22,1938.44
2023-07-01,79,6,842.18,5053.08
2023-07-01,93,1,641.75,641.75
2023-07-01,63,8,169.79,1358.32
2023-07-01,26,8,676.77,5414.16
2023-07-01,2,9,318.39,2865.5099999999998
2023-07-01,102,8,436.37,3490.96
2023-07-01,50,7,891.34,6239.38
2023-07-01,60,4,491.01,1964.04
2023-07-01,75,3,832.48,2497.44
2023-07-01,79,7,842.18,5895.259999999999
2023-07-01,94,4,434.39,1737.56
2023-07-01,71,8,370.69,2965.52
2023-07-01,88,7,824.19,5769.33
2023-07-01,30,5,989.05,4945.25
2023-07-01,29,2,356.09,712.18
2023-07-01,47,1,353.48,353.48
2023-07-01,61,4,813.34,3253.36
2023-07-01,92,1,969.22,969.22
2023-07-01,66,10,421.3,4213.0
2023-07-01,61,6,813.34,4880.04
2023-07-01,36,2,683.51,1367.02
2023-07-01,88,1,824.19,824.19
2023-07-01,69,9,616.83,5551.47
2023-07-01,9,5,325.17,1625.8500000000001
2023-07-01,56,10,283.81,2838.1
2023-07-01,8,7,694.39,4860.73
2023-07-01,43,8,201.16,1609.28
2023-07-01,65,2,239.82,479.64
2023-07-01,54,1,13.01,13.01
2023-07-01,40,10,679.48,6794.8
2023-07-01,101,2,800.82,1601.64
2023-07-01,68,3,733.32,2199.96
2023-07-01,55,6,520.75,3124.5
2023-07-01,17,3,290.58,871.74
2023-07-01,30,6,989.05,5934.299999999999
2023-07-01,39,9,694.49,6250.41
2023-07-01,29,8,356.09,2848.72
2023-07-01,18,10,604.72,6047.200000000001
2023-07-01,15,6,898.16,5388.96
2023-07-01,58,5,438.19,2190.95
2023-07-01,10,5,690.97,3454.8500000000004
2023-07-01,99,6,934.2,5605.200000000001
2023-07-01,46,5,566.65,2833.25
2023-07-01,77,10,500.37,5003.7
2023-07-01,3,7,201.96,1413.72
2023-07-01,82,8,384.86,3078.88
2023-07-01,104,2,748.03,1496.06
2023-07-01,74,10,565.28,5652.799999999999
2023-07-01,65,7,239.82,1678.74
2023-07-01,10,6,690.97,4145.82
2023-07-01,15,6,898.16,5388.96
2023-07-01,8,3,694.39,2083.17
2023-07-01,89,7,789.29,5525.03
2023-07-01,63,9,169.79,1528.11
2023-07-01,12,5,313.23,1566.15
2023-07-01,71,10,370.69,3706.9
2023-07-01,100,3,174.71,524.13
2023-07-01,1,3,620.21,1860.63
2023-07-01,105,9,982.1,8838.9
2023-07-01,55,9,520.75,4686.75
2023-07-01,40,1,679.48,679.48
2023-07-01,47,2,353.48,706.96
2023-07-01,86,1,560.99,560.99
2023-07-01,52,7,273.99,1917.93
2023-07-01,18,4,604.72,2418.88
2023-07-01,102,7,436.37,3054.59
2023-07-01,97,2,741.22,1482.44
2023-07-01,52,9,273.99,2465.91
2023-07-01,11,10,480.35,4803.5
2023-07-01,7,8,951.34,7610.72
2023-07-01,49,1,128.86,128.86
2023-07-01,66,7,421.3,2949.1
2023-07-01,76,2,890.23,1780.46
2023-07-01,96,6,669.79,4018.74
2023-07-01,54,3,13.01,39.03
2023-07-01,30,8,989.05,7912.4
2023-07-01,100,9,174.71,1572.39
2023-07-01,60,9,491.01,4419.09
2023-07-01,80,2,952.98,1905.96
2023-07-01,12,9,313.23,2819.07
2023-07-01,94,4,434.39,1737.56
2023-07-01,32,1,729.52,729.52
2023-07-01,21,10,524.23,5242.3
2023-07-01,40,7,679.48,4756.360000000001
2023-07-01,79,8,842.18,6737.44
2023-07-01,84,9,446.93,4022.37
2023-07-01,26,2,676.77,1353.54
2023-07-01,83,2,748.88,1497.76
2023-07-01,71,3,370.69,1112.07
2023-07-01,102,2,436.37,872.74
2023-07-01,22,3,168.85,506.54999999999995
2023-07-01,10,8,690.97,5527.76
2023-07-01,7,5,951.34,4756.7
2023-07-01,81,5,860.02,4300.1
2023-07-01,67,10,46.54,465.4
2023-07-01,35,9,166.24,1496.16
2023-07-01,69,5,616.83,3084.15
2023-07-01,72,6,547.54,3285.24
2023-07-01,36,9,683.51,6151.59
2023-07-01,10,6,690.97,4145.82
2023-07-01,40,6,679.48,4076.88
2023-07-01,42,9,514.3,4628.7
2023-07-01,105,4,982.1,3928.4
2023-07-01,87,1,128.29,128.29
2023-07-01,20,7,293.45,2054.15
2023-07-01,19,7,622.88,4360.16
2023-07-01,63,9,169.79,1528.11
2023-07-01,32,6,729.52,4377.12
2023-07-01,80,10,952.98,9529.8
2023-07-01,7,5,951.34,4756.7
2023-07-01,5,9,226.95,2042.55
2023-07-01,15,4,898.16,3592.64
2023-07-01,43,1,201.16,201.16
2023-07-01,13,7,884.87,6194.09
2023-07-01,24,2,847.41,1694.82
2023-07-01,52,5,273.99,1369.95
2023-07-01,84,7,446.93,3128.51
2023-07-01,82,8,384.86,3078.88
2023-07-01,46,7,566.65,3966.5499999999997
2023-07-01,20,8,293.45,2347.6
2023-07-01,15,4,898.16,3592.64
2023-07-01,102,7,436.37,3054.59
2023-07-01,103,5,276.11,1380.5500000000002
2023-07-01,74,1,565.28,565.28
2023-07-01,61,9,813.34,7320.06
2023-07-01,60,7,491.01,3437.0699999999997
2023-07-01,31,2,893.41,1786.82
2023-07-01,45,3,870.52,2611.56
2023-07-01,3,2,201.96,403.92
2023-07-01,83,8,748.88,5991.04
2023-07-01,75,5,832.48,4162.4
2023-07-01,94,1,434.39,434.39
2023-07-01,76,7,890.23,6231.610000000001
2023-07-01,97,5,741.22,3706.1000000000004
2023-07-01,3,3,201.96,605.88
2023-07-01,33,5,264.73,1323.65
2023-07-01,78,4,793.14,3172.56
2023-07-01,21,10,524.23,5242.3
2023-07-01,89,6,789.29,4735.74
2023-07-01,75,3,832.48,2497.44
2023-07-01,77,7,500.37,3502.59
2023-07-01,68,10,733.32,7333.200000000001
2023-07-01,2,3,318.39,955.17
2023-07-01,58,2,438.19,876.38
2023-07-01,63,7,169.79,1188.53
2023-07-01,7,8,951.34,7610.72
2023-07-01,29,8,356.09,2848.72
2023-07-01,24,8,847.41,6779.28
2023-07-01,66,7,421.3,2949.1
2023-07-01,37,2,56.42,112.84
2023-07-01,60,7,491.01,3437.0699999999997
2023-07-01,48,2,576.19,1152.38
2023-07-01,3,10,201.96,2019.6000000000001
2023-07-01,44,6,236.52,1419.1200000000001
